,"@FIXME: "
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Media Image","Hình ảnh truyền thống"
"Media Image","Hình ảnh truyền thống"
"Minimum Advertised Price","Giá quảng cáo tối thiểu"
"Minimum Advertised Price","Giá quảng cáo tối thiểu"
"Minimum Lines per Page","Số dòng tối thiểu mỗi trang"
"Minimum Lines Per Page","@FIXME: Đường tối thiểu mỗi trang"
"Minimum Lines per Page","Số dòng tối thiểu mỗi trang"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty for Item's Status to be Out of Stock",@TODO
"Minimum Qty for Item\'s Status to be Out of Stock","Số lượng tối thiểu để mặt hàng có trạng thái hết hàng"
"Minimum Qty for Item\'s Status to be Out of Stock","Số lượng tối thiểu để mặt hàng có trạng thái hết hàng"
"Missing SKU, skipping the record.","Thiếu mã sản phẩm, bỏ qua bản ghi."
"Missing SKU, skipping the record","@FIXME: Thiếu SKU, bỏ qua các kỷ lục"
"Missing SKU, skipping the record.","Thiếu mã sản phẩm, bỏ qua bản ghi."
"More Views","Xem thêm"
"More Views","Xem thêm"
"Move category in tree","Di chuyển nhóm sản phẩm trong cây"
"Move category in tree","Di chuyển nhóm sản phẩm trong cây"
Move,"Di chuyển"
Move,"Di chuyển"
"Multiple Select","@FIXME: nhiều Chọn"
"Multi update product","@FIXME: Sản phẩm đa cập nhật"
"must be in the allowed values list","@FIXME: phải nằm trong danh sách các giá trị cho phép"
"Must be in the allowed values list.","Phải có trong danh sách giá trị cho phép."
"Must be in the allowed values list.","Phải có trong danh sách giá trị cho phép."
N/A,"Không có"
"Name<br/>(For internal use)","@FIXME: Tên \u003cbr/\u003e (Để sử dụng nội bộ)"
"Name in %s","Tên trong %s"
"Name In %s",@TODO
"Name in %s","Tên trong %s"
Name,Tên
Name,Tên
N/A,"Không có"
"New Category","@FIXME: New Category"
"New Product Attribute","Thuộc tính sản phẩm mới"
"New Product Attribute","Thuộc tính sản phẩm mới"
"New Product","Sản phẩm mới"
"New Product","Sản phẩm mới"
"New Products","Các sản phẩm mới"
"New Products Grid Template","Mẫu lưới các sản phẩm mới"
"New Products Grid Template","Mẫu lưới các sản phẩm mới"
"New Products List Template","Mẫu danh sách các sản phẩm mới"
"New Products List Template","Mẫu danh sách các sản phẩm mới"
"New products","@FIXME: sản phẩm mới"
"New Products","Các sản phẩm mới"
"New Root Category","Nhóm sản phẩm gốc mới"
"New Root Category","Nhóm sản phẩm gốc mới"
"New Search","Tìm kiếm mới"
"New Search","Tìm kiếm mới"
"New Set Name","Tên nhóm mới"
"New Set Name","Tên nhóm mới"
"New Subcategory","Nhóm sản phẩm con mới"
"New Subcategory","Nhóm sản phẩm con mới"
Next,Tiếp
Next,Tiếp
"No image","Không có hình ảnh"
"No image","Không có hình ảnh"
No,Không
"No layout updates","Không có bản cập nhật bố trí"
"No layout updates","Không có bản cập nhật bố trí"
None,Không
None,Không
No,Không
"No options of this product are available.","Không nhận được tùy chọn cho sản phẩm này."
"No options of this product are available.","Không nhận được tùy chọn cho sản phẩm này."
"No product collections found.","Không tìm thấy tập hợp sản phẩm."
"No product collections found.","Không tìm thấy tập hợp sản phẩm."
"No product collections found","@FIXME: Không có bộ sưu tập sản phẩm tìm thấy"
"Notify for Quantity Below","Thông báo cho số lượng dưới đây"
"Notify for Quantity Below","Thông báo cho số lượng dưới đây"
"Notify Low Stock RSS","RSS thông báo còn ít hàng"
"Notify Low Stock RSS","RSS thông báo còn ít hàng"
"Not shared with other products","@FIXME: Không được chia sẻ với các sản phẩm khác"
"Not Visible Individually","Không hiển thị độc lập"
"Not Visible Individually","Không hiển thị độc lập"
Nowhere,"@FIXME: hư không"
"Number of Products per Page","@FIXME: Số sản phẩm mỗi trang"
"Number of Products to Display","Số sản phẩm được hiển thị"
"Number of Products to Display","Số sản phẩm được hiển thị"
"Number of results<br/>(For last time placed)","@FIXME: Số kết quả \u003cbr/\u003e ( Đối với lần cuối cùng được đặt )"
"Number of results (For the last time placed)","Số lượng kết quả (Đối với lần cuối được đặt)"
"Number of results (For the last time placed)","Số lượng kết quả (Đối với lần cuối được đặt)"
"Number of results","Số lượng kết quả"
"Number of results","Số lượng kết quả"
"Number of Uses","Số lượng sử dụng"
"Number of Uses","Số lượng sử dụng"
"# of Use","# được sử dụng"
"# of Use","# được sử dụng"
"# of Use","# được sử dụng"
OK,"ĐỒNG Ý"
OK,"ĐỒNG Ý"
"Old Price:","Giá cũ:"
"Old Price:","Giá cũ:"
"On Gesture","Về cử chỉ"
"On Gesture","Về cử chỉ"
Option:,"Tùy chọn:"
Options,"Các tùy chọn"
"Options Control","Kiểm soát tùy chọn"
"Options Control","Kiểm soát tùy chọn"
"Options is required","Yêu cầu có tùy chọn"
"Options is required","Yêu cầu có tùy chọn"
Options,"Các tùy chọn"
Option:,"Tùy chọn:"
"Option validation failed to add product to cart.","Xác nhận tùy chọn không thể thêm sản phẩm vào giỏ hàng."
"Option validation failed to add product to cart","@FIXME: Xác nhận lựa chọn thất bại để thêm sản phẩm vào giỏ hàng"
"Option validation failed to add product to cart.","Xác nhận tùy chọn không thể thêm sản phẩm vào giỏ hàng."
"Option values","Các giá trị tùy chọn"
"Option values","Các giá trị tùy chọn"
OR,HOẶC
OR,HOẶC
"Our customer service is available 24/7. Call us at (555) 555-0123.","STCMeCOM phục vụ các Quý khách 24/7. Vui lòng gọi 0983109989."
"Our customer service is available 24/7. Call us at (555) 555-0123.","STCMeCOM phục vụ các Quý khách 24/7. Vui lòng gọi 0983109989."
"Out of stock","Hết hàng"
"Out of Stock","Hết hàng"
"Out of stock.","@FIXME: Ra khỏi cổ phiếu."
"Out of stock","Hết hàng"
"Out of Stock","Hết hàng"
Page:,"@FIXME: page:"
"Page Title Separator","Tách tiêu đề trang"
"Page Title Separator","Tách tiêu đề trang"
"Parent Category","Nhóm sản phẩm gốc"
"Parent Category","Nhóm sản phẩm gốc"
Pending,"Chờ xử lý"
Pending,"Chờ xử lý"
"Pending Reviews RSS","RSS nhận xét chờ xử lý"
"Pending Reviews RSS","RSS nhận xét chờ xử lý"
Percentage,"Tỷ lệ phần trăm"
Percentage,"Tỷ lệ phần trăm"
"per page","mỗi trang"
"per page","mỗi trang"
"Please add rows to option.","Xin thêm các dòng vào tùy chọn."
"Please add rows to option.","Xin thêm các dòng vào tùy chọn."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Xin cẩn thận khi bấm vào dòng này, nó sẽ tải dữ liệu gói từ tập tin được chọn và dữ liệu chưa lưu sẽ bị mất."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Xin cẩn thận khi bấm vào dòng này, nó sẽ tải dữ liệu gói từ tập tin được chọn và dữ liệu chưa lưu sẽ bị mất."
"Please click on Close Window button if it won't be closed automatically",@TODO
"Please click on the Close Window button if it is not closed automatically.","Xin bấm vào nút Đóng nếu cửa sổ trình duyệt không tự động đóng."
"Please click on the Close Window button if it is not closed automatically.","Xin bấm vào nút Đóng nếu cửa sổ trình duyệt không tự động đóng."
"Please enter a new group name","Xin nhập tên nhóm mới"
"Please enter a new group name","Xin nhập tên nhóm mới"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>",@TODO
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Xin làm mới ""Danh mục sao chép URL"" và ""Các thuộc tính sản phẩm"" trong Hệ thống -> <a href=""%s"">Quản lý chỉ mục</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Xin làm mới ""Danh mục sao chép URL"" và ""Các thuộc tính sản phẩm"" trong Hệ thống -> <a href=""%s"">Quản lý chỉ mục</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",@TODO
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",@TODO
"Please select a static block ...","Xin chọn khối tĩnh ..."
"Please select a static block ...","Xin chọn khối tĩnh ..."
"-- Please Select --","-- Xin chọn --"
"Please select  items","@FIXME: Vui lòng chọn các mặt hàng"
"Please select items.","Xin chọn các mặt hàng."
"Please select items.","Xin chọn các mặt hàng."
"Please select one or more attributes.","Xin chọn một hoặc nhiều thuộc tính."
"Please select one or more attributes.","Xin chọn một hoặc nhiều thuộc tính."
"-- Please Select --","-- Xin chọn --"
"Please select products for attributes update","Xin chọn các sản phẩm để cập nhật thuộc tính"
"Please select products for attributes update","Xin chọn các sản phẩm để cập nhật thuộc tính"
"Please select product(s).","Xin chọn (các) sản phẩm."
"Please select product(s)","@FIXME: Vui lòng chọn sản phẩm (s)"
"Please select product(s).","Xin chọn (các) sản phẩm."
"Please select static block ...","@FIXME: Vui lòng chọn khối tĩnh..."
"-- Please Select --","-- Xin chọn --"
"Please set up merge date/time later then present date","@FIXME: Vui lòng thiết lập hợp nhất ngày / thời gian sau đó thì ngày nay"
"Please set up merge date/time .","@FIXME: Vui lòng thiết lập hợp nhất ngày / giờ."
"Please set up merge date/time","@FIXME: Vui lòng thiết lập ngày hợp nhất / thời gian"
"Please specify date required option(s).","Xin xác định ngày (các) tùy chọn yêu cầu."
"Please specify date required option(s)","@FIXME: Vui lòng ghi rõ ngày yêu cầu tùy chọn (s)"
"Please specify date required option(s).","Xin xác định ngày (các) tùy chọn yêu cầu."
"Please specify the number of products, that will not be divided into subintervals.","Xin xác định số lượng sản phẩm không được chia thành các khoảng con."
"Please specify the number of products, that will not be divided into subintervals.","Xin xác định số lượng sản phẩm không được chia thành các khoảng con."
"Please specify the product option(s)","@FIXME: Hãy xác định lựa chọn sản phẩm (s)"
"Please specify the product required option(s).","Xin xác định (các) tùy chọn sản phẩm."
"Please specify the product required option(s)","Xin xác định (các) tùy chọn sản phẩm"
"Please specify the product required option(s).","Xin xác định (các) tùy chọn sản phẩm."
"Please specify the product required option(s)","Xin xác định (các) tùy chọn sản phẩm"
"Please specify the product\'s option(s).","Xin xác định (các) tùy chọn của sản phẩm."
"Please specify the product\'s option(s).","Xin xác định (các) tùy chọn của sản phẩm."
"Please specify the product(s) quantity","@FIXME: Hãy xác định sản phẩm (s) số lượng"
"Please specify the product\'s required option(s).","Xin xác định (các) tùy chọn yêu cầu của sản phẩm."
"Please specify the product\'s required option(s).","Xin xác định (các) tùy chọn yêu cầu của sản phẩm."
"Please specify the quantity of product(s).","Xin xác định số lượng (các) sản phẩm."
"Please specify the quantity of product(s).","Xin xác định số lượng (các) sản phẩm."
"Please specify time required option(s).","Xin xác định thời gian (các) tùy chọn yêu cầu."
"Please specify time required option(s)","@FIXME: Hãy xác định thời gian cần thiết lựa chọn (s)"
"Please specify time required option(s).","Xin xác định thời gian (các) tùy chọn yêu cầu."
"Please, use four-digit year format","@FIXME: Xin vui lòng sử dụng định dạng năm bốn chữ số"
"Please wait...","Xin chọn..."
"Please wait...","Xin chọn..."
PM,Chiều
PM,Chiều
"Position in Layered Navigation","Vị trí trong điều hướng phân lớp"
"Position In Layered Navigation","@FIXME: Trong vị trí Layered Navigation"
"Position in Layered Navigation","Vị trí trong điều hướng phân lớp"
"Position of attribute in layered navigation block","Vị trí của thuộc tính trong khối điều hướng phân lớp"
"Position of attribute in layered navigation block","Vị trí của thuộc tính trong khối điều hướng phân lớp"
Position,"Vị trí"
Position,"Vị trí"
Previous,"Trang trước"
Previous,"Trang trước"
Prev,"Trang trước"
Prev,"Trang trước"
Price:,Giá:
Price,Giá
"Price is not available","Không nhận được giá"
"Price is not available","Không nhận được giá"
"Price Navigation Step Calculation","Tính toán bước điều hướng giá"
"Price Navigation Step Calculation","Tính toán bước điều hướng giá"
Price:,Giá:
Price,Giá
"Price: %s","Giá: %s"
"Price: %s","Giá: %s"
"Price Type","Loại giá"
"Price Type","Loại giá"
"Price values for options should be specified in system base currency.","Các giá trị giá cả cho các tùy chọn này cần được xác định trong hệ thống đồng tiền cơ bản."
"Price values for options should be specified in system base currency.","Các giá trị giá cả cho các tùy chọn này cần được xác định trong hệ thống đồng tiền cơ bản."
"Print This Page","In trang này"
"Print This Page","In trang này"
"Problem saving the collection, aborting. Error: %s",@TODO
"Product Alerts","Các cảnh báo sản phẩm"
"Product Alerts","Các cảnh báo sản phẩm"
"Product API","API sản phẩm"
"Product API","API sản phẩm"
"Product Attribute","Thuộc tính sản phẩm"
"Product attributes API","API các thuộc tính sản phẩm"
"Product attributes API","API các thuộc tính sản phẩm"
"Product Attributes","Các thuộc tính sản phẩm"
"Product attribute sets API","API các nhóm thuộc tính sản phẩm"
"Product attribute sets API","API các nhóm thuộc tính sản phẩm"
"Product Attributes","Các thuộc tính sản phẩm"
"Product Attribute","Thuộc tính sản phẩm"
"Product attribute was successfully deleted","@FIXME: Thuộc tính sản phẩm đã được xóa thành công"
"Product attribute was successfully saved","@FIXME: Thuộc tính sản phẩm đã được lưu thành công"
"Product Categories","Các nhóm sản phẩm"
"Product Categories","Các nhóm sản phẩm"
"Product collection expected.","Tập hợp sản phẩm dự kiến."
"Product collection expected","@FIXME: Bộ sưu tập sản phẩm dự kiến"
"Product collection expected.","Tập hợp sản phẩm dự kiến."
"Product deleted","@FIXME: xóa sản phẩm"
"Product Description","Mô tả sản phẩm"
"Product Description","Mô tả sản phẩm"
"Product duplicated","@FIXME: sản phẩm nhân đôi"
"Product Extra Info","Thông tin thêm sản phẩm"
"Product Extra Info","Thông tin thêm sản phẩm"
"Product Flat Data","Dữ liệu phẳng sản phẩm"
"Product Flat Data","Dữ liệu phẳng sản phẩm"
"Product has required options","@FIXME: Sản phẩm đã được yêu cầu lựa chọn"
"Product ID","ID sản phẩm"
"Product ID","ID sản phẩm"
"Product Image Placeholders","Nơi lưu giữ hình ảnh sản phẩm"
"Product Image Placeholders","Nơi lưu giữ hình ảnh sản phẩm"
"Product Images API","API các hình ảnh sản phẩm"
"Product Images API","API các hình ảnh sản phẩm"
"Product Images","Các hình ảnh sản phẩm"
"Product Images","Các hình ảnh sản phẩm"
"Product Image Watermarks","Ghi dấu bản quyền hình ảnh sản phẩm"
"Product Image Watermarks","Ghi dấu bản quyền hình ảnh sản phẩm"
"Product Info Column","Cột thông tin sản phẩm"
"Product Info Column","Cột thông tin sản phẩm"
"Product Information","Thông tin sản phẩm"
"Product Information","Thông tin sản phẩm"
"Product In Websites","Sản phẩm trong các website"
"Product In Websites","Sản phẩm trong các website"
"Product is not loaded","Sản phẩm không được tải"
"Product is not loaded","Sản phẩm không được tải"
"Product Link Block Template","Mẫu khối liên kết sản phẩm"
"Product Link Block Template","Mẫu khối liên kết sản phẩm"
"Product Link Inline Template","Mẫu nội tuyến liên kết sản phẩm"
"Product Link Inline Template","Mẫu nội tuyến liên kết sản phẩm"
"Product links API (related, cross sells, up sells)","API các liên kết sản phẩm (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Product links API (related, cross sells, up sells)","API các liên kết sản phẩm (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Product listing sort by","@FIXME: Danh sách sản phẩm Sắp xếp theo"
"Product Listing Sort by","Sản phẩm liệt kê theo"
"Product Listing Sort by","Sản phẩm liệt kê theo"
"Product Name","Tên sản phẩm"
"Product name","Tên sản phẩm"
"Product Name","Tên sản phẩm"
"Product Prices","Các giá sản phẩm"
"Product Prices","Các giá sản phẩm"
Product,"Sản phẩm"
"Product Reviews","Các nhận xét sản phẩm"
"Product Reviews","Các nhận xét sản phẩm"
Product,"Sản phẩm"
"Product saving error. ","@FIXME: Sản phẩm tiết kiệm lỗi."
"Product saving error.","@FIXME: Sản phẩm tiết kiệm lỗi."
products,"các sản phẩm"
Products,"Các sản phẩm"
"Products Comparison List","Danh sách so sánh sản phẩm"
"Products Comparison List","Danh sách so sánh sản phẩm"
"Products Information","Thông tin các sản phẩm"
"Products Information","Thông tin các sản phẩm"
"Products only","Chỉ có các sản phẩm"
"Products only","Chỉ có các sản phẩm"
"Products per Page on Grid Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per page on Grid allowed values","@FIXME: Sản phẩm mỗi trang trên lưới cho phép các giá trị"
"Products per Page on Grid Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per Page on Grid Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per Page on Grid default value","@FIXME: Sản phẩm mỗi trang trên giá trị mặc định lưới"
"Products per Page on Grid Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng lưới trên mỗi trang"
"Products per Page on List Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
"Products per Page on List allowed values","@FIXME: Sản phẩm mỗi trang trên danh sách cho phép các giá trị"
"Products per Page on List Allowed Values","Các giá trị cho phép, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
"Products per Page on List Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
"Products per Page on List default value","@FIXME: Sản phẩm mỗi trang trên giá trị mặc định Danh sách"
"Products per Page on List Default Value","Mặc định, các sản phẩm được sắp xếp theo dạng danh sách trên mỗi trang"
products,"các sản phẩm"
Products,"Các sản phẩm"
"Products Reviews","Nhận xét các sản phẩm"
"Products Reviews","Nhận xét các sản phẩm"
"Products Sitemap","Sitemap các sản phẩm"
"Products Sitemap","Sitemap các sản phẩm"
"Product %s successfully added to compare list",@TODO
"Product %s successfully removed from compare list",@TODO
"Product Tags","Các thẻ sản phẩm"
"Product Tags","Các thẻ sản phẩm"
"Product Tier Price API","API các mức giá sản phẩm"
"Product Tier Price API","API các mức giá sản phẩm"
"Product Type","Loại sản phẩm"
"Product Type","Loại sản phẩm"
"Product types API","API các loại sản phẩm"
"Product types API","API các loại sản phẩm"
"Product URL Suffix","Phụ tố URL sản phẩm"
"Product URL Suffix","Phụ tố URL sản phẩm"
"Product View Extra Hint","Gợi ý thêm xem sản phẩm"
"Product View Extra Hint","Gợi ý thêm xem sản phẩm"
"Product was successfully created.","@FIXME: Sản phẩm đã được tạo thành công."
"Product was successfully saved.","@FIXME: Sản phẩm đã được lưu thành công."
"Product with this combination of attributes already associated to configurable.","Sản phẩm có sự kết hợp các thuộc tính này đã được gắn liền sản phẩm cấu hình."
"Product with this combination of attributes already associated to configurable.","Sản phẩm có sự kết hợp các thuộc tính này đã được gắn liền sản phẩm cấu hình."
Properties,"Các đặc điểm"
Properties,"Các đặc điểm"
px.,"@FIXME: px."
px.,"@FIXME: px."
"Qty for Item's Status to become Out of Stock",@TODO
"Qty for Item\'s Status to Become Out of Stock","Số lượng cho các mặt hàng để có trạng thái hết hàng"
"Qty for Item\'s Status to Become Out of Stock","Số lượng cho các mặt hàng để có trạng thái hết hàng"
"Qty Increments","Tăng số lượng"
"Qty Increments","Tăng số lượng"
Qty:,"Số lượng:"
Qty,"Số lượng"
Qty:,"Số lượng:"
Qty,"Số lượng"
"Qty Uses Decimals","Số lượng sử dụng các số thập phân"
"Qty Uses Decimals","Số lượng sử dụng các số thập phân"
Quantity,"Số lượng"
Quantity,"Số lượng"
"Quick Create","Tạo nhanh"
"Quick Create","Tạo nhanh"
"Quick Overview","Xem nhanh"
"Quick Overview","Xem nhanh"
"Quick simple product creation","Nhanh chóng tạo sản phẩm đơn giản"
"Quick simple product creation","Nhanh chóng tạo sản phẩm đơn giản"
"Records for ""","Bản ghi cho "
"Records for ""","Bản ghi cho "
"Records for ""%s"" store found.",@TODO
Redirect,"Chuyển hướng"
Redirect,"Chuyển hướng"
"Redirect URL","URL chuyển hướng"
"Redirect URL","URL chuyển hướng"
"Regular Price:","Giá thông thường:"
"Regular Price:","Giá thông thường:"
"Related Products","Các sản phẩm liên quan"
"Related Products","Các sản phẩm liên quan"
"Remove attribute from attribute set","Loại bỏ thuộc tính khỏi nhóm thuộc tính"
"Remove attribute from attribute set","Loại bỏ thuộc tính khỏi nhóm thuộc tính"
"Remove attribute set","Loại bỏ nhóm thuộc tính"
"Remove attribute set","Loại bỏ nhóm thuộc tính"
"Remove custom option","Loại bỏ tùy chọn tùy chỉnh"
"Remove custom option","Loại bỏ tùy chọn tùy chỉnh"
"Remove group from attribute set","Loại bỏ nhóm khỏi nhóm thuộc tính"
"Remove group from attribute set","Loại bỏ nhóm khỏi nhóm thuộc tính"
Remove,"Loại bỏ"
"Remove option","Loại bỏ tùy chọn"
"Remove option","Loại bỏ tùy chọn"
"Remove product assignment","Loại bỏ việc gán sản phẩm"
"Remove product assignment","Loại bỏ việc gán sản phẩm"
"Remove Product From Websites","Loại bỏ sản phẩm khỏi các website"
"Remove Product From Websites","Loại bỏ sản phẩm khỏi các website"
"Remove product image","Loại bỏ hình ảnh sản phẩm"
"Remove product image","Loại bỏ hình ảnh sản phẩm"
"Remove product link","Loại bỏ liên kết sản phẩm"
"Remove product link","Loại bỏ liên kết sản phẩm"
"Remove Product","@FIXME: Di chuyển sản phẩm"
Remove,"Loại bỏ"
"Remove This Item","Loại bỏ mặt hàng này"
"Remove This Item","Loại bỏ mặt hàng này"
"Remove value from custom option","Loại bỏ giá trị khỏi tùy chọn tùy chỉnh"
"Remove value from custom option","Loại bỏ giá trị khỏi tùy chọn tùy chỉnh"
"Rename existing group","Đổi tên nhóm hiện có"
"Rename existing group","Đổi tên nhóm hiện có"
"Rename group","Đổi tên nhóm"
"Rename group","Đổi tên nhóm"
"Reorganize EAV category structure to flat structure","Tổ chức lại cấu trúc nhóm sản phẩm để làm phẳng cấu trúc"
"Reorganize EAV category structure to flat structure","Tổ chức lại cấu trúc nhóm sản phẩm để làm phẳng cấu trúc"
"Reorganize EAV product structure to flat structure","Tổ chức lại cấu trúc sản phẩm để làm phẳng cấu trúc"
"Reorganize EAV product structure to flat structure","Tổ chức lại cấu trúc sản phẩm để làm phẳng cấu trúc"
"* Required Fields","* Thông tin bắt buộc"
"* Required Fields","* Thông tin bắt buộc"
"* Required Fields","* Thông tin bắt buộc"
Required,"@FIXME: cần thiết"
Reset,"Làm lại"
Reset,"Làm lại"
Results,"Các kết quả"
Results,"Các kết quả"
"Retrieve attribute data","Dữ liệu thuộc tính nhận được"
"Retrieve attribute data","Dữ liệu thuộc tính nhận được"
"Retrieve attribute list","Danh sách thuộc tính nhận được"
"Retrieve attribute list","Danh sách thuộc tính nhận được"
"Retrieve attribute options","Các tùy chọn thuộc tính nhận được"
"Retrieve attribute options","Các tùy chọn thuộc tính nhận được"
"Retrieve categories tree","Cây nhóm sản phẩm nhận được"
"Retrieve categories tree","Cây nhóm sản phẩm nhận được"
"Retrieve category attributes","Các thuộc tính nhóm sản phẩm nhận được"
"Retrieve category attributes","Các thuộc tính nhóm sản phẩm nhận được"
"Retrieve category data","Dữ liệu nhóm sản phẩm nhận được"
"Retrieve category data","Dữ liệu nhóm sản phẩm nhận được"
"Retrieve hierarchical tree","Cây phân cấp nhận được"
"Retrieve hierarchical tree","Cây phân cấp nhận được"
"Retrieve linked products","Các sản phẩm được liên kết nhận được"
"Retrieve linked products","Các sản phẩm được liên kết nhận được"
"Retrieve list of assigned products","Danh sách các sản phẩm được gán nhận được"
"Retrieve list of assigned products","Danh sách các sản phẩm được gán nhận được"
"Retrieve list of option values","Danh sách các giá trị tùy chọn nhận được"
"Retrieve list of option values","Danh sách các giá trị tùy chọn nhận được"
"Retrieve list of product custom options","Danh sách các tùy chọn tùy chỉnh sản phẩm nhận được"
"Retrieve list of product custom options","Danh sách các tùy chọn tùy chỉnh sản phẩm nhận được"
"Retrieve one level of categories by website/store view/parent category","Các nhóm sản phẩm một cấp nhận được từ website/ không gian cửa hàng/ nhóm sản phẩm gốc"
"Retrieve one level of categories by website/store view/parent category","Các nhóm sản phẩm một cấp nhận được từ website/ không gian cửa hàng/ nhóm sản phẩm gốc"
"Retrieve option value info","Thông tin giá trị tùy chọn nhận được"
"Retrieve option value info","Thông tin giá trị tùy chọn nhận được"
"Retrieve product attribute sets","Các nhóm thuộc tính sản phẩm nhận được"
"Retrieve product attribute sets","Các nhóm thuộc tính sản phẩm nhận được"
"Retrieve product image","Hình ảnh sản phẩm nhận được"
"Retrieve product image list","Danh sách hình ảnh nhận được"
"Retrieve product image list","Danh sách hình ảnh nhận được"
"Retrieve product image","Hình ảnh sản phẩm nhận được"
"Retrieve product image types","Các loại hình ảnh sản phẩm nhận được"
"Retrieve product image types","Các loại hình ảnh sản phẩm nhận được"
"Retrieve product link type attributes","Các thuộc tính kiểu liên kết sản phẩm nhận được"
"Retrieve product link type attributes","Các thuộc tính kiểu liên kết sản phẩm nhận được"
"Retrieve product link types","Các loại liên kết sản phẩm nhận được"
"Retrieve product link types","Các loại liên kết sản phẩm nhận được"
"Retrieve product","Sản phẩm nhận được"
"Retrieve product","Sản phẩm nhận được"
"Retrieve products data","Dữ liệu sản phẩm nhận được"
"Retrieve products data","Dữ liệu sản phẩm nhận được"
"Retrieve products list by filters","Danh sách các sản phẩm nhận được qua bộ lọc"
"Retrieve products list by filters","Danh sách các sản phẩm nhận được qua bộ lọc"
"Retrieve product tier prices","Các mức giá sản phẩm nhận được"
"Retrieve product tier prices","Các mức giá sản phẩm nhận được"
"Retrieve product types","Các loại sản phẩm nhận được"
"Retrieve product types","Các loại sản phẩm nhận được"
Reviews,"Các nhận xét"
Reviews,"Các nhận xét"
"Review successfully deleted","@FIXME: Xem xét xóa thành công"
"Review was saved successfully","@FIXME: Xem xét đã được lưu thành công"
"Review was successfully saved","@FIXME: Xem xét đã được lưu thành công"
"Roll Over for preview","Cuộn lên để xem trước"
"Roll Over for preview","Cuộn lên để xem trước"
Root,Gốc
Root,Gốc
"%s and above","%s và bên trên"
"%s and above","%s và bên trên"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save And Continue Edit","@FIXME: Lưu Và Tiếp tục Chỉnh sửa"
"Save Attribute","Lưu thuộc tính"
"Save Attribute","Lưu thuộc tính"
"Save Attribute Set","Lưu nhóm thuộc tính"
"Save Attribute Set","Lưu nhóm thuộc tính"
"Save Category","Lưu nhóm sản phẩm"
"Save Category","Lưu nhóm sản phẩm"
"Saved %d record(s)","(Các) bản ghi %d đã được lưu"
"Saved %d record(s)","(Các) bản ghi %d đã được lưu"
"Saved ","@FIXME: lưu"
save,lưu
Save,Lưu
save,lưu
Save,Lưu
"Save Search","Lưu tìm kiếm"
"Save Search","Lưu tìm kiếm"
"Scope must not be changed, because the attribute is used in configurable products.","Phạm vi không được thay đổi, bởi vì thuộc tính được sử dụng trong các sản phẩm cấu hình."
"Scope must not be changed, because the attribute is used in configurable products.","Phạm vi không được thay đổi, bởi vì thuộc tính được sử dụng trong các sản phẩm cấu hình."
Scope,"Phạm vi"
Scope,"Phạm vi"
Searchable,"Có thể tìm kiếm"
Searchable,"Có thể tìm kiếm"
"Search Engine Optimizations","Tối ưu bộ máy tìm kiếm"
"Search Engine Optimizations","Tối ưu bộ máy tìm kiếm"
"Search Information","Thông tin tìm kiếm"
"Search Information","Thông tin tìm kiếm"
"Search Query","Truy vấn tìm kiếm"
"Search Query","Truy vấn tìm kiếm"
Search,"Tìm kiếm"
"Search Term was successfully saved","@FIXME: Tìm kiếm hạn đã được lưu thành công"
