"12h AM/PM","12g Sáng/Chiều"
"Please enter a valid email address. For example johndoe@domain.com.","Xin nhập địa chỉ thư điện tử hợp lệ. Ví dụ: youremail@domain.com."
"Please enter a valid email.","Xin nhập thư điện tử hợp lệ."
"Please enter a valid number in this field.","Xin nhập số hợp lệ trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Xin nhập số điện thoại hợp lệ. Ví dụ: (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Xin nhập số an sinh xã hội hợp lệ. Ví dụ: 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Xin nhập vào URL hợp lệ. Ví dụ: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Xin nhập vào URL hợp lệ. Yêu cầu có http://"
"Please enter a valid value, ex: 10,20,30","Xin nhập giá trị hợp lệ. Ví dụ: 10,20,30"
"Please enter a valid value from list","Xin nhập giá trị hợp lệ từ danh sách"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Xin nhập mã bưu điện hợp lệ. Ví dụ: 90602 hoặc 90602-1234."
"Please enter a valid zip code.","Xin nhập mã bưu điện hợp lệ."
"Please enter password to confirm rollback.","Xin nhập mật khẩu để xác nhận khôi phục từ dữ liệu dự phòng."
"Please enter password","Xin nhập mật khẩu"
"Please enter valid password.","Xin nhập mật khẩu hợp lệ."
"Please fill in 'email' field.","@FIXME: Xin vui lòng điền trong lĩnh vực email."
"Please make sure that all global admin search modules are installed and activated.","Xin chắc chắn rằng tất cả các mô-đun admin tìm kiếm toàn hệ thống đã được cài đặt và được kích hoạt."
"Please make sure that your changes were saved before running the profile.","Xin chắc chắn rằng các thay đổi của Quý khách đã được lưu trước khi chạy hồ sơ này."
"Please make sure your passwords match.","Xin chắc chắn rằng mật khẩu của Quý khách được khớp."
"-- Please select a category --","@FIXME: - Hãy chọn một thể loại -"
"-- Please Select a Category --","-- Xin chọn một nhóm sản phẩm --"
"Please select a custmer","@FIXME: Vui lòng chọn một custmer"
"Please select a customer.","Xin chọn một khách hàng."
"Please select an option.","Xin chọn một tùy chọn."
"Please select a store","@FIXME: Vui lòng chọn một cửa hàng"
"Please, select a store view","@FIXME: Vui lòng chọn xem cửa hàng"
"Please select a store.","Xin chọn một cửa hàng."
"-- Please Select Billing Agreement--","-- Xin chọn thỏa thuận thanh toán --"
"Please select catalog searches","@FIXME: Vui lòng chọn danh mục tìm kiếm"
"Please select catalog searches.","Xin chọn tìm kiếm danh mục."
"Please select customer(s)","@FIXME: Hãy lựa chọn của khách hàng (s)"
"Please select customer(s).","Xin chọn (các) khách hàng."
"Please select message(s).","Xin chọn (các) tin nhắn."
"Please select one of the above options.","Xin chọn một trong số các tùy chọn trên."
"Please select one of the options.","Xin chọn một trong các tùy chọn."
"Please select review(s)","@FIXME: Vui lòng chọn xem xét (s)"
"Please select review(s).","Xin chọn (các) nhận xét."
"Please select State/Province.","Xin chọn Bang/ Tỉnh, Thành."
"Please select tag(s)","@FIXME: Vui lòng chọn tag (s)"
"Please select tag(s).","Xin chọn (các) thẻ."
"Please, select ""Visible in Stores"" for this poll first.","Trước hết, xin chọn hiển thị trong cửa hàng cho bình chọn này"
"Please, select visible in stores to this poll first","@FIXME: Xin vui lòng, chọn được nhìn thấy trong các cửa hàng để thăm dò ý kiến ​​này đầu tiên"
"-- Please select --","-- Xin chọn --"
"-- Please Select --","-- Xin chọn --"
"--Please Select--","-- Xin chọn --"
"Please Select","Xin chọn"
"Please specify admin custom URL","@FIXME: Hãy xác định URL tùy chỉnh quản trị"
"Please specify at least start or end date.","@FIXME: Hãy xác định ít nhất là bắt đầu hoặc ngày kết thúc."
"Please specify backup creation options","Xin xác định các tùy chọn tạo bản sao lưu"
"Please specify the admin custom URL.","Xin xác định URL quản trị tùy chỉnh"
"Please try to logout and sign in again.","Xin đăng xuất và đăng nhập trở lại."
"Please type the letters from the image:","Xin nhập các ký tự từ hình ảnh:"
"Please use in this field only ""a-z,0-9,_"".","Xin chỉ sử dụng ""a-z,0-9,_"" trong trường này."
"Please use letters only (a-z) in this field.","Xin chỉ sử dụng các chữ (a-z) trong trường này."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","@FIXME: Vui lòng sử dụng số điện thoại chỉ trong lĩnh vực này.  xin vui lòng tránh không gian hoặc các ký tự khác như dấu chấm hay phẩy."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Xin chỉ sử dụng các số trong trường này. Xin tránh sử dụng các khoảng trống hoặc các ký tự khác như dấu chấm và dấy phảy."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Xin chỉ sử dụng các chữ (a-z hoặc A-Z), các số (0-9) hoặc khoảng trống trong trường này."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Xin chỉ sử dụng các chữ (a-z) hoặc các số (0-9) trong trường này. Không được sử dụng khoảng trống hoặc các ký tự khác."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Xin chỉ sử dụng các chữ (a-z),các số (0-9), khoảng trống và # trong trường này."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Xin sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ: 20/06/2012 thay cho ngày 20 tháng 6 năm 2012."
"Please wait, loading...","Xin đợi, đang tải..."
"Please wait while the indexes are being refreshed.","Xin đợi trong khi các chỉ mục đang được làm mới."
"Please wait...","Xin đợi..."
"Poll Manager","Quản lý bình chọn"
Polls,"Các bình chọn"
"Poll was successfully deleted","@FIXME: Cuộc thăm dò được xóa thành công"
"Poll was successfully saved","@FIXME: Cuộc thăm dò được lưu thành công"
Popular,"Phổ biến"
Position,"@FIXME: vị trí"
"Position of Watermark for %s","Vị trí ghi dấu bản quyền cho %s"
"Preferred state","@FIXME: nhà nước ưa thích"
"Pregenerated product images files.","Các tập tin hình ảnh được tạo trước."
"Preparing to change $pkg, please wait...","@FIXME: Chuẩn bị để thay đổi $ pkg, vui lòng đợi..."
"Preview Template","Xem trước mẫu"
Preview,"Xem trước"
"Previous page","@FIXME: trang trước"
"Prev. month (hold for menu)","Tháng trước (giữ cho thực đơn)"
"Prev. year (hold for menu)","Năm trước (giữ cho thực đơn)"
"Price alert subscription was saved.","Đăng ký báo giá được lưu thành công"
"Price alert subscription was saved successfully","@FIXME: Giá thuê bao cảnh báo đã được lưu thành công"
Price,Giá
Price:,Giá:
"Primary Billing Address","@FIXME: Tiểu học Địa chỉ Thanh toán"
"Processed <strong>%s%% %s/%d</strong> items","@FIXME: Xử lý u003cstrongu003e % s %% % s / % d u003c/ strongu003e mục"
"Processed <strong>%s%% %s/%d</strong> records","Bản ghi <strong>%s%% %s/%d</strong> đã được xử lý"
"Product is not loaded.","Sản phẩm không được tải."
"Product Name","Tên sản phẩm"
"Product Reviews","Các nhận xét về sản phẩm"
Product,"Sản phẩm"
Product:,"Sản phẩm:"
"Products Bestsellers Report","Báo cáo các sản phẩm bán chạy nhất"
Products,"Các sản phẩm"
"Products in Carts","Các sản phẩm trong giỏ hàng"
"Products Most Viewed Report","Báo cáo các sản phẩm được xem nhiều nhất"
"Products Ordered","Các sản phẩm được đặt hàng"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Các sản phẩm sẽ được thêm/ cập nhật vào cửa hàng này nếu cột 'cửa hàng' để trống hoặc không có trong tập tin được nhập vào.)"
"Product Tax Classes","Các mức thuế sản phẩm"
"Product Thumbnail Itself","Hình thu nhỏ sản phẩm"
"Profile Action","Hồ sơ hành động"
"Profile Actions XML","Hồ sơ các hành động XML"
"Profile Direction","Hồ sơ hướng"
"Profile History","Hồ sơ lịch sử"
"Profile Information","Hồ sơ thông tin"
"Profile Name","Hồ sơ tên"
"Profile Payments","Hồ sơ thanh toán"
Profiles,"Các hồ sơ"
"Profile Schedule","Hồ sơ lịch trình"
"Profile was deleted","@FIXME: Hồ sơ đã bị xóa"
"Profile was successfully saved","@FIXME: Hồ sơ được lưu thành công"
"Profile Wizard","Hồ sơ Wizard"
Promo,"Khuyến mãi"
Promotions,"Khuyến mãi"
"Provided Files","@FIXME: cung cấp tập tin"
"Purchased Item","Mặt hàng được mua"
"Put store on the maintenance mode while backup creation","Đưa cửa hàng về chế độ bảo trì trong khi tạo bản sao lưu"
"Put store on the maintenance mode while rollback processing","Đưa cửa hàng về chế độ bảo trì trong khi thực hiện khôi phục từ dữ liệu dự phòng (rollback)"
Qty,"@FIXME: Số lượng"
Quantity,"Số lượng"
"Queued... Cancel","Đang chờ duyệt... Hủy bỏ"
"Queue Refresh","Làm mới chờ duyệt"
"Radio Buttons","Các nút tùy chọn đơn đối tượng"
Rates,"Các tỷ giá"
"Rating was successfully deleted","@FIXME: Đánh giá đã được xóa thành công"
"Rating was successfully saved","@FIXME: Đánh giá đã được lưu thành công"
"Read details","Xem chi tiết"
"Rebuild Catalog Index","Xây dựng lại chỉ mục danh mục"
"Rebuild Flat Catalog Category","Xây dựng lại danh mục nhóm hàng hóa phẳng"
"Rebuild Flat Catalog Product","Xây dựng lại danh mục sản phẩm phẳng"
Rebuild,"Xây dựng lại"
"Recent Orders","Các đơn hàng gần đây"
"Recent statistics have been updated.","Các thống kê gần đây đã được cập nhật."
Recommended,"@FIXME: đề nghị"
"Recurring Profile View","Xem hồ sơ định kỳ"
"Recursive Dir","Thư mục đệ quy"
Redirect,"Chuyển hướng"
"Reference ID","ID tham khảo"
Reference,"Tài liệu tham khảo"
Refresh,"Làm mới"
"Refresh Now*","Làm mới ngay*"
"Refresh Statistics","Làm mới các thống kê"
Region/State,"Khu vực/ Bang"
"Regular Price:","Giá thông thường:"
"Rejection Of Authorization","Từ chối ủy quyền"
"Reject token authorization for admin","Từ chối thẻ xác thực ủy quyền cho quản trị"
"Reject token authorization Pop Up for admin","Từ chối thẻ xác thực ủy quyền Pop Up cho quản trị"
Reject,"Từ chối"
"Release Info","@FIXME: Thông tin phát hành"
Release,"Phát hành"
"Release Stability","Phát hành ổn định"
"Release Version","Phiên bản phát hành"
"Reload captcha","Làm mới Captcha"
"Remote Extension Info","@FIXME: Thông tin mở rộng từ xa"
"Remote FTP","FTP từ xa"
"Remote URL:","@FIXME: URL từ xa:"
Remove,"Loại bỏ"
Reports,"Báo cáo"
"Request Path","Yêu cầu đường dẫn"
Required,"Bắt buộc phải nhập"
"* Required Fields","* Các trường bắt buộc phải nhập"
"Reset a Password","Đặt lại mật khẩu"
"Reset Filter","Lọc lại"
Reset,"Làm lại"
"Reset Password","Đặt lại mật khẩu"
Resize,"Chỉnh kích thước"
"Resource Access","Tài nguyên truy cập"
Resources,"Các tài nguyên"
"REST Roles","Các vai trò REST"
Results,"Các kết quả"
"Retrieve Password","Nhận mật khẩu"
"Return Html Version","Trở lại phiên bản HTML"
Revenue,"Doanh thu"
"Reviews and Ratings","Các nhận xét và đánh giá"
Reviews,"Các nhận xét"
"Rewrite Rules","Sao chép các quy tắc"
Role,"@FIXME: vai trò"
"Role ID","ID vai trò"
"Role Information","Thông tin vai trò"
"Role Info","Thông tin vai trò"
"Role Name","Tên vai trò"
"Role Resources","Các tài nguyên vai trò"
Roles,"Các vai trò"
"Roles Resources","Các tài nguyên vai trò"
"Role successfully deleted.","@FIXME: Vai trò xóa thành công."
"Role successfully saved.","@FIXME: Vai trò lưu thành công."
"Role Users","Vai trò các thành viên"
"Root Category","@FIXME: Danh mục gốc"
"Rotate CCW","Xoay bên trái"
"Rotate CW","Xoay bên phải"
Run,Chạy
"Run in popup","@FIXME: Chạy trong cửa sổ bật lên"
Running:,"@FIXME: chạy:"
"Running... Kill","Đang chạy... Kết thúc"
"Run Profile","Chạy hồ sơ"
"Run Profile in Popup","Chạy hồ sơ trong Popup"
"Run Profile In Popup","@FIXME: Chạy hồ sơ Trong Popup"
"Run Profile Inside This Window","Chạy hồ sơ trong cửa sổ trình duyệt này"
Sales,"Bán hàng"
"Sales Report","Báo cáo kinh doanh"
Samples,"Các mẫu"
"Save Account","Lưu tài khoản"
"Save And Continue Edit","@FIXME: Lưu Và Tiếp tục Chỉnh sửa"
"Save and Continue Editing","@FIXME: Lưu và Tiếp tục chỉnh sửa"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save As...","@FIXME: Save As..."
"Save cache settings","@FIXME: Lưu các thiết lập bộ nhớ cache"
"Save Cache Settings","Lưu các thiết lập bộ nhớ đệm"
"Save Config","Lưu cấu hình"
"Save Currency Rates","Lưu tỷ giá ngoại tệ"
"Save data and Create Package","@FIXME: Lưu dữ liệu và tạo trọn gói"
"Save & Generate","Lưu & Tạo"
Save,Lưu
"Save package with custom package file name","@FIXME: Lưu gói với các tùy chỉnh tên tập tin gói"
"Save PEAR Config","@FIXME: Lưu PEAR Config"
"Save Profile","Lưu hồ sơ"
"Save Role","Lưu vai trò"
"Save Template","Lưu mẫu"
"Save User","Lưu thành viên"
"%s cache type(s) disabled.","(các) loại bộ nhớ đệm %s đã được vô hiệu."
"%s cache type(s) enabled.","(các) loại bộ nhớ đệm %s đã được kích hoạt."
"%s cache type(s) refreshed.","(các) loại bộ nhớ đệm %s đã được làm mới."
"Schedule Merge","@FIXME: lịch Merge"
"%s (Default Template from Locale)","%s (Mẫu mặc định trong hệ thống)"
"Search Index","Chỉ mục tìm kiếm"
"Search Index rebuild error. Please try again later","@FIXME: Tìm kiếm Index xây dựng lại lỗi.  Vui lòng thử lại sau"
"Search Index was rebuilt successfully","@FIXME: Tìm kiếm Index được xây dựng lại thành công"
"Search Terms","Các từ khóa tìm kiếm"
"Search Term","Từ khóa tìm kiếm"
Search,"Tìm kiếm"
" sections for your Hosted Checkout Pages."," các phần này dành cho trang thanh toán của Quý khách."
"Select All","Chọn tất cả"
"Select Category","Chọn nhóm sản phẩm"
Select,Chọn
"Select date","Chọn ngày"""
"Select Date","Chọn ngày"
"Selected allow currency ""%s"" is not available in installed currencies","@FIXME: Lựa chọn cho phép tiền tệ""% s""không có sẵn trong cài đặt tiền tệ"
"Selected allowed currency ""%s"" is not available in installed currencies.","Đồng tiền cho phép được chọn ""%s"" không có trong các tiền tệ được cài đặt."
"Selected base currency is not available in installed currencies.","Đồng tiền cơ bản được chọn không có trong các tiền tệ được cài đặt."
"Selected base currency is not available in installed currencies","@FIXME: Tiền tệ cơ bản được lựa chọn là không có sẵn trong cài đặt tiền tệ"
"Selected default display currency is not available in allowed currencies.","Đồng tiền hiển thị mặc định được chọn không có trong tiền tệ cho phép."
"Selected default display currency is not available in allowed currencies","@FIXME: Chọn loại tiền tệ hiển thị mặc định là không có sẵn trong tiền tệ cho phép"
"Selected default display currency is not available in installed currencies.","Đồng tiền hiển thị mặc định được chọn không có trong tiền tệ được cài đặt."
"Selected default display currency is not available in installed currencies","@FIXME: Chọn loại tiền tệ hiển thị mặc định là không có sẵn trong cài đặt tiền tệ"
"Select Range","Chọn phạm vi"
"Select Visible","@FIXME: chọn Visible"
"Select website from map","@FIXME: Chọn trang web từ bản đồ"
"Select website to map","@FIXME: Chọn trang web bản đồ"
"Self-assigned roles cannot be deleted.","Không thể xóa các vai trò được hệ thống tạo sẵn."
Sender,"Người gửi"
"Separate email","@FIXME: email riêng biệt"
"Separate Email","Tách riêng thư điện tử"
"Service Settings","Các thiết lập dịch vụ"
"Set up & Customize","Thiết lập và Tùy chỉnh"
"(Shift-)Click or drag to change value","(Shift-)Click hoặc kéo để thay đổi giá trị"
"Shipment Comments","Các ghi chú lô hàng"
"Shipment History","Lịch sử lô hàng"
Shipments,"Các lô hàng"
"Shipment #%s comment added","Ghi chú lô hàng #%s đã được thêm vào"
"Shipment #%s created","Lô hàng #%s đã được tạo"""
"Shipment was successfully created.","@FIXME: Lô hàng đã được tạo thành công."
"Shipment was successfully sent.","@FIXME: Lô hàng đã được gửi thành công."
"Shipping Address: ","Địa chỉ giao vận: "
"Shipping Address","Địa chỉ giao vận"
"Shipping address","@FIXME: địa chỉ giao hàng"
"Shipping address selection is not applicable","Lựa chọn địa chỉ giao vận không phù hợp"
Shipping,"Giao vận"
"Shipping method must be specified","@FIXME: Phương thức vận chuyển phải được xác định"
"Shipping method must be specified.","Phương thức giao vận phải được xác định"
"Shipping method selection is not applicable","Lựa chọn phương thức giao vận không thích hợp"
"Shipping origin","@FIXME: Vận Chuyển nguồn gốc"
"Shipping Origin","Xuất xứ giao vận"
"Shipping Price","Phí giao vận"
"Shopping Cart from %s","Giỏ hàng từ %s"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rules","Các quy tắc giá giỏ hàng"
"Show by","@FIXME: hiển thị bằng"
"Show By","Xem theo"
"Show Report for","@FIXME: Show Report cho"
"Show Report For:","Xem báo cáo về:"
"Show reviews","@FIXME: Hiện đánh giá"
"Show Reviews","Xem các nhận xét"
"Sitemap Information","Thông tin Sitemap"
"Size for %s","Kích thước của %s"
"Skip Category Selection","Bỏ qua lựa chọn nhóm hàng hóa"
"Skip category selection","@FIXME: Bỏ lựa chọn thể loại"
SKU,"Mã sản phẩn"
SKU:,"Mã sản phẩn:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Một số mặt hàng trong đơn hàng này có kiểu lô hàng và hóa đơn khác. Quý khách chỉ có thể tạo lô hàng sau khi hóa đơn được tạo."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Một số mặt hàng được đặt không còn tồn tại trong danh mục và sẽ được loại bỏ nếu Quý khách cố gắng chỉnh sửa đơn hàng."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.",@TODO
"Sorry, this feature is coming soon...","Xin lỗi, tính năng này sẽ sớm ra mắt..."
"Sort Order","@FIXME: Xếp theo thứ tự"
"Special Price:","Giá đặc biệt:"
"Specific Countries","Các quốc gia được xác định"
Specified,"Được xác định"
"Specified profile does not exist.","Hồ sơ được xác định không còn tồn tại."
"Spreadsheet Name:","Tên bảng:"
"SSL Error: Invalid or self-signed certificate","Lỗi SSL: Chứng nhận tự ký hoặc không hợp lệ"
Stability,"@FIXME: ổn định"
"Staging Store: ","@FIXME: Dàn Store:"
"Staging Website: ","@FIXME: Dàn dựng Website:"
"Start Date","Ngày bắt đầu"
"Starting profile execution, please wait...","Bắt đầu thực thi hồ sơ, xin đợi..."
"(Starting with)","(Bắt đầu với)"
State/Province:,"Bang/ Tỉnh, Thành:"
"Static Blocks","Các khối tĩnh"
Status,"Trạng thái"
Status:,"Trạng thái:"
"Stock notification was saved successfully","@FIXME: Thông báo chứng khoán đã được lưu thành công"
"Stock notification was saved.","Thông báo kho được lưu thành công."
"Stock Quantity:","Số lượng trong kho:"
Store,"Cửa hàng"
Store:,"Cửa hàng:"
"Store Email Addresses Section","Phần địa chỉ thư điện tử cửa hàng"
"Store: ","@FIXME: cửa hàng:"
Stores,"Các cửa hàng"
"store(%s) scope","phạm vi cửa hàng (%s)"
"Store View","Không gian cửa hàng"
"[STORE VIEW]","[KHÔNG GIAN CỬA HÀNG]"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha nhạy loại chữ."
"<strong>%s</strong> requests access to your account","Các yêu cầu <strong>%s</strong> truy cập tài khoản của Quý khách"
Subject,"Tiêu đề"
Submit,Gửi
"Subpackage cannot be conflicting.","Gói con không thể xung đột"
"Subpackage can't be conflicting",@TODO
Subpackage,"@FIXME: Subpackage"
Subpackages,"@FIXME: các gói con"
"Subtotal Amount","@FIXME: Số tiền tổng phụ"
Subtotal,"Tổng số phụ"
successful,"thành công"
Summary,"@FIXME: tóm lược"
Summary:,"@FIXME: Tóm tắt:"
"Switch/Solo card issue number: %s","@FIXME: Switch / Solo số vấn đề thẻ:% s"
"Switch/Solo card start Date: %s/%s","@FIXME: Switch / Solo bắt đầu thẻ ngày: % s / % s"
"Switch/Solo/Maestro Only","Chỉ chấp nhận Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","@FIXME: Số vấn đề chuyển đổi / Solo / Maestro ( Vương quốc Anh trong nước), thẻ:% s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","@FIXME: Switch / Solo / Maestro ( Vương quốc Anh trong nước), thẻ bắt đầu ngày: % s / % s"
"Switch/Solo/Maestro(UK Domestic) Only","@FIXME: Switch / Solo / Maestro ( Vương quốc Anh trong nước) Chỉ"
"Switch/Solo Only","@FIXME: Switch / Solo Chỉ"
Symbol,"Biểu tượng"
"Synchronization is required.","Yêu cầu đồng bộ."
"Synchronization of media storages has been successfully completed.","Đồng bộ các kho lưu trữ truyền thông đã được hoàn thành."
Synchronize,"Đồng bộ"
Synchronizing...,"Đang đồng bộ..."
"Synchronizing %s to %s","Đồng bộ %s với %s"
"System busy","Hệ thống đang bận"
System,"Hệ thống"
"System Section","Hệ thống"
Tags,"Các thẻ"
"Tag was successfully deleted","@FIXME: Tag đã được xóa thành công"
"Tag was successfully saved","@FIXME: Tag đã được lưu thành công"
"Target Path","Đường dẫn đích"
Tax,Thuế
Tb,"@FIXME: Tb"
"Template Content","Nội dung mẫu"
"Template Information","Thông tin mẫu"
Template,Mẫu
"Template Name","Tên mẫu"
"Template Styles","Các loại mẫu"
"Template Subject","Tiêu đề mẫu"
"Template Type","Loại mẫu"
"Temporary (302)","(302) Tạm thời"
"Terms and Conditions","Các điều khoản và điều kiện"
Text,"Văn bản"
"(\t for tab)","@FIXME: ( \ t cho tab )"
"(\\t for tab)","(\\t để lùi vào 1 ""tab"")"
"The account has been saved.","Tài khoản đã được lưu."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Tập tin lưu trữ có thể được giải nén với <a href=""%s"">%s</a> trong hệ thống Windows"
"The attribute set has been removed.","Nhóm thuộc tính này đã được loại bỏ."
"The backup's creation process will take time.","Quá trình tạo bản sao lưu sẽ mất thời gian."
"The billing agreement has been canceled.","Thỏa thuận thanh toán đã được hủy."
"The billing agreement has been deleted.","Thỏa thuận thanh toán đã được xóa."
"The cache storage has been flushed.","Kho lưu trữ bộ nhớ đệm đã được xóa."
"The carrier needs to be specified.","Nhà cung cấp cần được xác định."
"The catalog index has been rebuilt.","Chỉ mục danh mục đã được xây dựng lại."
"The CatalogInventory Stock Status has been rebuilt.","Trạng thái danh mục sản phẩm tồn kho đã được xây dựng lại."
"The catalog rewrites have been refreshed.","Sao chép danh mục đã được làm mới."
"The Catalog Rewrites were refreshed.","Sao chép danh mục đã được làm mới."
"The Comment Text field cannot be empty.","Trường văn bản bình luận không thể để trống."
"The configuration has been saved.","Cấu hình đã được lưu."
"The credit memo has been canceled.","Bản ghi tín dụng đã được hủy."
"The credit memo has been created.","Bản ghi tín dụng đã được tạo."
"The credit memo has been voided.","Bản ghi tín dụng đã hết hiệu lực."
" The customer does not exist in the system anymore."," Các khách hàng không còn tồn tại trong hệ thống"
" The customer doesn't exist in the system anymore",@TODO
"The customer has been deleted.","Khách hàng đã được xóa."
"The customer has been saved.","Khách hàng đã được lưu."
"The custom variable has been deleted.","@FIXME: Biến tùy chỉnh đã bị xóa."
"The custom variable has been saved.","Biến tùy chỉnh đã được lưu."
"The design change has been deleted.","Thay đổi thiết kế đã được xóa."
"The design change has been saved.","Thay đổi thiết kế đã được lưu."
"The email address is empty.","Địa chỉ thư điện tử bị bỏ trống."
"The email template has been deleted.","Mẫu thư điện tử đã được xóa."
"The email template has been saved.","Mẫu thư điện tử đã được lưu."
"The flat catalog category has been rebuilt.","Danh mục nhóm sản phẩm phẳng đã được xây dựng lại."
"The Flat Catalog Product was rebuilt","Danh mục sản phẩm phẳng đã được xây dựng lại"
"The group node name must be specified with field node name.","Tên nút nhóm phải được xác định với tên nút trường."
"The image cache was cleaned.","Bộ nhớ đệm hình ảnh đã được làm sạch."
"The image cache was cleared.","Bộ nhớ đệm hình ảnh đã được xóa."
"The information in this tab has been changed.","@FIXME: Các thông tin trong tab này đã được thay đổi."
"The invoice and shipment have been created.","Hóa đơn và lô hàng đã được tạo."
"The invoice and the shipment  have been created. The shipping label cannot be created at the moment.","Hóa đơn và lô hàng đã được tạo. Nhãn mua hàng không thể được tạo ra tại thời điểm này."
"The invoice has been canceled.","Hóa đơn đã được hủy."
"The invoice has been captured.","Hóa đơn đã được bắt."
"The invoice has been created.","Hóa đơn đã được tạo."
"The invoice has been voided.","Hóa đơn đã hết hiệu lực."
"The invoice no longer exists.","Hóa đơn không còn tồn tại."
"The item %s (SKU %s) does not exist in the catalog anymore.","Mặt hàng %s (SKU %s) không còn tồn tại trong danh mục hàng hóa."
"The JavaScript/CSS cache has been cleaned.","Bộ nhớ đệm JavaScript/CSS đã được làm sạch."
"The JavaScript/CSS cache has been cleared.","Bộ nhớ đệm JavaScript/CSS đã được xóa."
"The Layered Navigation indexing has been queued.","Chỉ mục điều hướng phân lớp đã được xếp hàng."
"The Layered Navigation indexing queue has been canceled.","Chờ duyệt chỉ mục điều hướng phân lớp đã được hủy."
"The Layered Navigation indices were refreshed.","Chỉ mục điều hướng phân lớp đã được làm mới."
"The Layered Navigation process has been queued to be killed.","Chỉ mục điều hướng phân lớp được xếp hàng đã được kết thúc."
"The Magento cache storage has been flushed.","Kho lưu trữ bộ nhớ đệm STCMeCOM đã được xóa."
"Themes JavaScript and CSS files combined to one file.","Các tập tin themes JavaScript và CSS được kết hợp vào một tập tin."
"The order does not allow creating an invoice.","Đơn hàng này không cho phép tạo hóa đơn."
"The order no longer exists.","Đơn hàng không còn tồn tại."
"The poll has been deleted.","Bình chọn đã được xóa."
"The poll has been saved.","Bình chọn đã được lưu."
"The profile has been deleted.","Hồ sơ đã được xóa."
"The profile has been saved.","Hồ sơ đã được lưu."
"The profile has been updated.","Hồ sơ đã được cập nhật."
"The profile has no changes.","Không có thay đổi nào trong hồ sơ."
"The profile you are trying to save no longer exists","Hồ sơ Quý khách muốn lưu không còn tồn tại"
"The rating has been deleted.","Đánh giá đã được xóa."
"The rating has been saved.","Đánh giá đã được lưu."
"There is an error in one of the option rows.","Xuất hiện lỗi tại một trong các dòng tùy chọn."
"The role has been deleted.","Vai trò đã được xóa."
"The role has been saved.","Vai trò đã được lưu."
"The role has been successfully saved.","Vai trò đã được lưu thành công."
"The search index has been rebuilt.","Chỉ mục tìm kiếm đã được xây dựng lại."
"The shipment has been created.","Lô hàng đã được tạo."
"The shipment has been sent.","Lô hàng đã được gửi."
"The shipping label has been created.","Nhãn lô hàng đã được tạo."
"The tag has been deleted.","Thẻ đã được xóa."
"The tag has been saved.","Thẻ đã được lưu."
"The transaction details have been updated.","Các chi tiết giao dịch đã được cập nhật."""
"The URL Rewrite has been deleted.","Sao chép URL đã được xóa."
"The URL Rewrite has been saved.","Sao chép URL đã được lưu."
"The user has been deleted.","Thành viên đã được xóa."
"The user has been saved.","Thành viên đã được lưu."
"This account is inactive.","Tài khoản này không còn hoạt động."
"This account is","Tài khoản này là"
"This Account is","Tài khoản này là"
"This action cannot be undone.","Hành động này không thể khôi phục."
"This attribute set does not have attributes which we can use for configurable product","Nhóm thuộc tính này không có các thuộc tính dành cho sản phẩm cấu hình"
"This attribute set don't have attributes which we can use for configurable product",@TODO
"This attribute shares the same value in all the stores","Giá trị thuộc tính này có hiệu lực trong tất cả các cửa hàng"
"This Email template no longer exists.","Mẫu thư điện tử không còn tồn tại."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là cửa hàng dùng thử. Bất cứ đơn hàng nào được đặt tại cửa hàng này sẽ không được thực hiện hoặc hoàn thành"
"This is a required field.","Trường bắt buộc phải nhập"
"This product is currently disabled","@FIXME: Sản phẩm này hiện đang bị vô hiệu hóa"
"This product is currently disabled.","Sản phẩm này hiện tại đã được vô hiệu."
