"About This Order:","Về đơn hàng này:"
"There is no need to deny this payment.","@FIXME: Không cần phải để từ chối thanh toán này."
"There is no update for the payment.","@FIXME: Không có bản cập nhật cho các thanh toán."
"The requested Payment Method is not available.","@FIXME: Các Phương thức thanh toán được yêu cầu không có sẵn."
"the shipment email is not sent","@FIXME: email lô hàng không được gửi"
"the shipment email was sent","@FIXME: email lô hàng đã được gửi"
"The shipping label has been created.","@FIXME: Các nhãn vận chuyển đã được tạo ra."
"The transaction ""%s"" cannot be captured yet.","@FIXME: Các giao dịch""% s""không thể bị bắt chưa."
"The transaction ""%s"" (%s) is already closed.","@FIXME: Các giao dịch""% s""(% s) đã được đóng lại."
"The value that you entered is not valid.","@FIXME: Các giá trị mà bạn đã nhập không hợp lệ."
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","@FIXME: Thông báo này sẽ được hiển thị trong giỏ hàng khi tổng số phụ sau khi giảm giá ít hơn số tiền tối thiểu."
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","@FIXME: Thông báo này sẽ được hiển thị trong giỏ hàng khi tổng số phụ sau khi giảm giá ít hơn số tiền tối thiểu"
"This operation requires an existing transaction object.","@FIXME: Hoạt động này yêu cầu một đối tượng giao dịch hiện có."
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","@FIXME: Đơn hàng này chứa (% s) các mặt hàng và do đó không thể được chỉnh sửa thông qua giao diện quản trị tại thời điểm này, nếu bạn muốn tiếp tục chỉnh sửa (% s) các mặt hàng sẽ được gỡ bỏ, thứ tự sẽ bị hủy bỏ và một trật tự mới sẽ được đặt."
"This order no longer exists.","@FIXME: Lệnh này không còn tồn tại."
"This product does not have any configurable options","@FIXME: Sản phẩm này không có bất kỳ tùy chọn cấu hình"
"This profile state cannot be changed to ""%s"".","@FIXME: Trạng thái hồ sơ này không thể được thay đổi để""% s""."
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","@FIXME: Điều này sẽ tạo ra một hoàn ẩn.  Để tạo ra một hoàn trực tuyến, mở một hóa đơn và tạo ra bản ghi nhớ tín dụng cho nó.  Bạn có muốn tiếp tục?"
"Tier Pricing","@FIXME: Tier giá"
Title,"Tiêu đề"
To,Đến
To:,Đến:
"To Name","@FIXME: để Name"
"Total %d product(s)","Tổng số %d sản phẩm"
"Total Due","@FIXME: tổng Do"
"Total (ex)","@FIXME: Tổng số (ví dụ )"
Total(ex),Tổng(ex)
Total,"@FIXME: tổng số"
"Total (inc)","@FIXME: Tổng số ( inc )"
Total(inc),Tổng(inc)
"Total Invoiced","@FIXME: tổng số được lập Hoá đơn"
"Total Invoiced not Paid","@FIXME: Tổng số Hoá đơn không trả tiền"
"Total Invoiced Paid","@FIXME: Tổng số Hoá đơn trả tiền"
"Total Invoiced VS Paid Report","@FIXME: Tổng số Hoá đơn VS Paid Báo cáo"
"Total model should be extended from Mage_Sales_Model_Order_Total_Abstract.","@FIXME: Tổng số mô hình cần được mở rộng từ Mage_Sales_Model_Order_Total_Abstract."
"Total Ordered Report","@FIXME: Tổng số Báo cáo thứ tự"
"Total Paid","@FIXME: tổng số Paid"
"Total Qty","@FIXME: tổng số số lượng"
"Total Refunded","@FIXME: tổng Hoàn"
"Total Refunded Report","@FIXME: Tổng số Báo cáo Hoàn"
"Total Refund","@FIXME: tổng số Refund"
"Total Sales Shipping","@FIXME: Vận Chuyển Tổng số bán hàng"
"Total Shipped Report","@FIXME: Báo cáo tổng Shipped"
"Total Shipping Charges","@FIXME: Tổng Phí Vận Chuyển"
"Total Shipping","@FIXME: tổng Vận Chuyển"
"Total Tax","Tổng thuế"
"Total Weight","Tổng trọng lượng"
"Track all shipments","@FIXME: Theo dõi tất cả các lô hàng"
"Track all shipment(s)","@FIXME: Theo dõi tất cả các lô hàng (s)"
Tracking,"Theo dõi"
"Tracking Number","Số Theo dõi"
"Tracking Number(s):","Số Theo dõi:"
"Tracking Number(s)","Số theo dõi"
"Track Order","Theo dõi Đơn đặt hàng"
"Track this shipment","Theo dõi Vận chuyển này"
"Track your order","Theo dõi đơn hàng của bạn"
"Transaction ID","ID giao dịch"
"Transaction ID must not be empty.","@FIXME: ID giao dịch không phải là trống rỗng."
"Transaction ID: ""%s"".","@FIXME: ID giao dịch:""% s""."
Transactions,"Các Giao dịch"
"Transaction # %s | %s","@FIXME: Giao dịch # % s | % s"
"Transaction ""%s"" was already processed.","@FIXME: Giao dịch""% s""đã được xử lý."
"Transaction Type","@FIXME: Loại giao dịch"
"Trial ","@FIXME: thử nghiệm"
"Trial Payment","@FIXME: thử nghiệm thanh toán"
"Trial Period","@FIXME: Thời gian thử nghiệm"
"Trial period payment","@FIXME: Thanh toán thời gian dùng thử"
Type,"Kiểu"
Unassign,"Bỏ gán"
"Unhold action is not available.","@FIXME: Nhả hành động này là không có sẵn."
Unhold,"@FIXME: Nhả"
"Unhold order","@FIXME: Nhả để"
"Unknown State","@FIXME: Không biết Nhà nước"
"Unknown Status","@FIXME: Unknown Tình trạng"
"Unsupported transaction type ""%s"".","@FIXME: Không được hỗ trợ loại giao dịch""% s""."
"Update Changes","@FIXME: Cập nhật thay đổi"
"Updated At","@FIXME: cập nhật Tại"
Updated:,"@FIXME: Cập nhật:"
"Update Items and Qty's",@TODO
"Update Items and Qty\'s",@TODO
"Update Qty's",@TODO
"Update Qty\'s",@TODO
"Use Aggregated Data (beta)","@FIXME: Sử dụng Dữ liệu Tổng hợp (beta)"
"Use Order Status As Default","@FIXME: Tình trạng sử dụng theo thứ tự như mặc định"
"Validate each address separately in multi-address checkout","@FIXME: Xác nhận mỗi địa chỉ riêng trong nhiều địa chỉ thanh toán"
"Validate Each Address Separately in Multi-address Checkout","@FIXME: Xác nhận Mỗi Địa chỉ riêng trong nhiều địa chỉ Thanh toán"
Value,"Giá trị"
"View All","Xem tất cả"
"View Another Order","Xem Đơn hàng khác"
"View Order","Xem Đơn hàng"
View,Xem
"Visible on Frontend","Trình bày trên Frontend"
"Voided authorization.","@FIXME: Ủy quyền khống."
Vo
"Void invoice","@FIXME: Hóa đơn Không hợp lệ"
Weight,"Trọng lượng"
"Whether buyer can define the date when billing for the profile begins.","@FIXME: Cho dù người mua có thể xác định ngày khi thanh toán cho các hồ sơ bắt đầu."
Width,"Chiều rộng"
Wishlist,"Ưa thích"
"Wrong billing agreement ID specified.","@FIXME: Thanh toán sai quy định thỏa thuận ID."
"Wrong quote item id to update configuration.","@FIXME: Quote sai mục id để cập nhật cấu hình."
"Wrong state: ""%s"".","@FIXME: Sai nhà nước:""% s""."
Yes,"Có"
"You can leave a box blank if you don\'t wish to add a gift message for whole order",@TODO
"You don\'t have permissions to manage this order because of one or more products are not permitted for your website.",@TODO
"You have placed no orders.","Bạn không có đơn đặt hàng nào."
"Your credit card will be charged for","Thẻ tín dụng của bạn sẽ được tính cho"
"You will be redirected to the payment system website.","Bạn sẽ được chuyển đến trang web của hệ thống thanh toán."
"Zip/Postal Code","Mã ZIP Bưu điện"
"ZIP/Post Code","Mã ZIP Bưu điện"
