//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"The shipment has been created.","Lô hàng đã được tạo."
"The shipment has been sent.","Lô hàng đã được gửi."
"The shipping label has been created.","Nhãn lô hàng đã được tạo."
"The tag has been deleted.","Thẻ đã được xóa."
"The tag has been saved.","Thẻ đã được lưu."
"The transaction details have been updated.",Các chi tiết giao dịch đã được cập nhật."
"The user has been deleted.","Thành viên đã được xóa."
"The user has been saved.","Thành viên đã được lưu."
"Themes JavaScript and CSS files combined to one file.","Các tập tin themes JavaScript và CSS được kết hợp vào một tập tin."
"There is an error in one of the option rows.","Xuất hiện lỗi tại một trong các dòng tùy chọn."
"This Account is","Tài khoản này là"
"This Email template no longer exists.","Mẫu thư điện tử không còn tồn tại."
"This Role no longer exists","Vai trò này không còn tồn tại"
"This Role no longer exists.","Vai trò này không còn tồn tại"
"This account is","Tài khoản này là"
"This account is inactive.","Tài khoản này không còn hoạt động."
"This action cannot be undone.","Hành động này không thể khôi phục."
"This attribute set does not have attributes which we can use for configurable product","Nhóm thuộc tính này không có các thuộc tính dành cho sản phẩm cấu hình"
"This attribute shares the same value in all the stores","Giá trị thuộc tính này có hiệu lực trong tất cả các cửa hàng"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là cửa hàng dùng thử. Bất cứ đơn hàng nào được đặt tại cửa hàng này sẽ không được thực hiện hoặc hoàn thành"
"This is a required field.","Trường bắt buộc phải nhập"
"This product is currently disabled.","Sản phẩm này hiện tại đã được vô hiệu."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Báo cáo này phụ thuộc vào cấu hình múi giờ. Khi múi giờ thay đổi, các thống kê chu kỳ cần được làm mới."
"This section is not allowed.","Phần này không được cho phép."
"This user no longer exists.","Thành viên này không còn tồn tại"
"Time","Thời gian"
"Time selection:","Thời gian lựa chọn:"
"Time:","Thời gian:"
"Timeout limit for response from synchronize process was reached.","Giới hạn thời gian chờ để thực hiện quá trình đồng bộ hóa."
"To","Đến"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Để hủy bỏ ủy quyền chờ xử lý và giải phóng số tiền đã được sử dụng trong quá trình thanh toán này, bấm Hủy bỏ."
"To use PayPal Payflow Link you must configure some settings in your Payflow account by logging into","Để sử dụng liên kết PayPal Payflow, Quý khách cần đăng nhập vào và cấu hình một số thiết lập trong tài khoản Payflow"
"To use PayPal Payments Advanced you must configure some settings in your PayPal Payments Advanced account by logging into","Để sử dụng PayPal Payments Advanced, Quý khách cần đăng nhập vào và cấu hình một số thiết lập trong tài khoản PayPal Payments Advanced"
"Toggle Editor","Chuyển biên tập"
"Tools","Tools"
"Top 5 Search Terms","Top 5 Search Terms"
"Total","Các công cụ"
"Total Invoiced","Tổng số hóa đơn"
"Total Order Amount","Tổng số tiền đặt hàng"
"Total Refunded",""Tổng số tiền hoàn lại"
"Total of %d record(s) have been deleted.","Tổng số %d (các) bản ghi đã được xóa."
"Total of %d record(s) have been updated.","Tổng số %d (các) bản ghi đã được cập nhật."
"Total of %d record(s) were canceled.","Tổng số %d (các) bản ghi đã được hủy bỏ."
"Total of %d record(s) were deleted","Tổng số %d (các) bản ghi đã xóa"
"Total of %d record(s) were deleted.","Tổng số %d (các) bản ghi đã xóa."
"Total of %d record(s) were updated","Tổng số %d (các) bản ghi đã cập nhật"
"Total of %d record(s) were updated.","Tổng số %d (các) bản ghi đã cập nhật."
"Track Order","Theo dõi đơn hàng"
"Track this shipment","Theo dõi lô hàng này"
"Tracking number %s for %s assigned","Số theo dõi %s cho %s đã được gán"
"Tracking number cannot be empty.","Số theo dõi không thể để trống."
"Transaction Data","Dữ liệu giao dịch"
"Transaction Details","Các chi tiết giao dịch"
"Transaction ID","ID giao dịch"
"Transaction Type","Loại giao dịch"
"Transactional Emails","Các thư điện tử giao dịch"
"Transactions","Các giao dịch"
"Try Magento Go for Free","Thử sử dụng miễn phí STCMeCOM"
"Type","Loại"
"Type:","Loại:"
"URL Rewrite","Sao chép URL"
"URL Rewrite Information","Thông tin sao chép URL"
"URL Rewrite Management","Quản lý sao chép URL"
"Unable to cancel the credit memo.","Không thể hủy bản ghi tín dụng."
"Unable to find a Email Template to delete.","Không tìm thấy mẫu thư điện tử để xóa."
"Unable to find a poll to delete.","Không tìm thấy bình chọn để xóa."
"Unable to find a tag to delete.","Không tìm thấy thẻ để xóa."
"Unable to find a user to delete.","Không tìm thấy thành viên để xóa."
"Unable to initialize import model","Không thể bắt đầu nhập mô hình"
"Unable to refresh lifetime statistics.","Không thể làm mới các thống kê chu kỳ."
"Unable to refresh recent statistics.","Không thể làm mới các thống kê hiện tại."
"Unable to save the cron expression.","Không thể lưu cron expression."
"Unable to save the invoice.","Không thể lưu hóa đơn."
"Unable to send the invoice email.","Không thể gửi thư điện tử hóa đơn."
"Unable to send the shipment email.","Không thể gửi thư điện tử lô hàng."
"Unable to update transaction details.","Không thể cập nhật các chi tiết giao dịch."
"Unable to void the credit memo.","Không thể hết hiệu lực bản ghi tín dụng."
"Unknown","Không xác định"
"Unlimited","Không giới hạn"
"Update","Cập nhật"
"Updated At","Cập nhật vào"
"Upload File","Tải lên tập tin"
"Upload Files","Tải lên các tập tin"
"Upload HTTP Error","Lỗi HTTP tải lên"
"Upload I/O Error","Lỗi I/O tải lên"
"Upload Security Error","Lỗi bảo mật tải lên"
"Upload import file","Tải lên tập tin được chọn"
"Uploaded file is larger than %.2f kilobytes allowed by server","Máy chủ cho phép tải lên tập tin lớn hơn %.2f kilobytes"
"Use All Available Attributes","Sử dụng tất cả các thuộc tính nhận được"
"Use Config Settings","Sử dụng các thiết lập cấu hình"
"Use Default","Sử dụng mặc định"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Default Variable Values","Sử dụng các giá trị biến mặc định"
"Use FTP Connection","Sử dụng kết nối FTP"
"Use Website","Sử dụng website"
"Used Currently For","Hiện được sử dụng cho"
"Used as Default For","Được sử dụng mặc định cho"
"User Email","Thư điện tử thành viên"
"User ID","ID thành viên"
"User Info","Thông tin thành viên"
"User Information","Thông tin thành viên"
"User Name","Tên thành viên"
"User Name is required field.","Tên thành viên là trường bắt buộc phải nhập."
"User Name:","Tên thành viên:"
"User Password","Mật khẩu thành viên"
"User Role","Vai trò thành viên"
"User Roles","Các vai trò thành viên"
"User Roles Information","Thông tin các vai trò thành viên"
"User Type Resources","Các tài nguyên loại thành viên"
"User name","Tên thành viên"
"Users","Các thành viên"
"VAT Number is Invalid","Số VAT không hợp lệ"
"VAT Number is Valid","Số VAT hợp lệ"
"Validation Results","Các kết quả xác nhận"
"Value","Giá trị"
"Value Delimiter:","Dấu phân cách giá trị:"
"Variable","Biến"
"Variable Code","Mã biến"
"Variable HTML Value","Biến giá trị HTML"
"Variable ID","ID biến"
"Variable Name","Tên biến"
"Variable Plain Value","Biến giá trị đơn giản"
"Verifier code: %s","Mã xác minh: %s"
"View Actions XML","Xem các hoạt động XML"
"View Full Size","Xem kích thước đầy đủ"
"View Memo","Xem bản ghi"
"View Memo for #%s","Xem bản ghi về #%s"
"View Shipment","Xem lô hàng"
"View Statistics For:","Xem thống kê về:"
"Visibility:","Khả năng hiển thị:"
"Warning","Cảnh báo"
"Warning! Empty value can cause problems with CSV format.","Cảnh báo! Giá trị rỗng có thể gây lỗi cho định dạng CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ loại bỏ thành viên này khỏi vai trò đã đăng ký\r\nQuý khách có chắc chắn không?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ loại bỏ những thành viên này khỏi các vai trò đã đăng ký\r\nQuý khách có chắc chắn không?"
"Warning: Please do not close the window during importing/exporting data","Cảnh báo: Xin không đóng cửa sổ trình duyệt trong quá trình nhập/ kết xuất dữ liệu"
"Watermark File for %s","Tập tin dấu bản quyền cho %s"
"We appreciate our merchants\' feedback, please <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">take our survey</a> to provide insight on the features you would like included in Magento. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Remove this notification</a>","Chúng tôi đánh giá cao các phản hồi của Quý khách, xin <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">tham gia khảo sát của chúng tôi</a> để cung cấp các nhận xét sâu sắc về các tính năng Quý khách muốn bao gồm trong STCMeCOM. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Loại bỏ thông báo này</a>"
"We\'re in our typing table, coding away more features for Magento. Thank you for your patience.","Chúng tôi đang phát triển bộ soạn thảo và sẽ lập trình thêm nhiều tính năng mới cho STCMeCOM. Xin cảm ơn sự kiên nhẫn của Quý khách."
"Web Section","Website"
"Web Services","Các dịch vụ Web"
"Web services","Các dịch vụ Web"
"Website","Website"
"What is this?","Đây là gì?"
"Wishlist Report","Báo cáo sản phẩm yêu thích"
"Wishlist item is not loaded.","Sản phẩm yêu thích không được tải."
"Wrong account specified.","Xác nhận tài khoản sai."
"Wrong billing agreement ID specified.","Xác nhận ID thỏa thuận thanh toán sai."
"Wrong column format.","Sai định dạng cột."
"Wrong newsletter template.","Sai mẫu bản tin điện tử."
"Wrong quote item.","Sai trích dẫn mặt hàng."
"Wrong tab configuration.","Sai cấu hình 'tab'."
"Wrong tag was specified.","Xác định thẻ sai."
"Wrong transaction ID specified.","Xác định ID giao dịch sai."
"XML","XML"
"XML data is invalid.","Dữ liệu XML không hợp lệ."
"XML object is not instance of ""Varien_Simplexml_Element"".","Đối tượng XML không phải là ví dụ của ""Varien_Simplexml_Element""."
"YTD","1 năm qua"
"Year","Năm"
"Yes","Có"
"Yes (301 Moved Permanently)","Có (301 Di chuyển cố định)"
"Yes (302 Found)","Có (302 Được tìm thấy)"
"Yes (only price with tax)","Có (chỉ giá bao gồm thuế)"
"You cannot delete your own account.","Quý khách không thể xóa tài khoản của chính mình"
"You have %s unread message(s).","Quý khách có %s tin nhắn chưa đọc."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Quý khách có %s tin nhắn chưa đọc. <a href=""%s"">Mở hộp thư đến</a>."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Quý khách có %s, %s và %s tin nhắn chưa đọc. <a href=""%s"">Mở hộp thư đến</a>."
"You have logged out.","Quý khách đã đăng xuất."
"You have not enough permissions to use this functionality.","Quý khách không đủ quyền để sử dụng chức năng này."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Quý khách phải kích hoạt JavaScript trong trình duyệt để sử dụng các chức năng của website này."
"You need to specify order items.","Quý khách cần xác định các mặt hàng được đặt hàng."
"You will need to wait when the action ends.","Quý khách cần đợi tới khi hoạt động kết thúc."
"Your answers contain duplicates.","Câu trả lời của Quý khách có chứa bản sao."
"Your password has been updated.","Mật khẩu của Quý khách đã được cập nhật."
"Your password reset link has expired.","Liên kết đặt lại mật khẩu của Quý khách đã hết hạn."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Các thiết lập máy chủ PHP của Quý khách cho phép Quý khách tải lên các tập tin mỗi lần không lớn hơn %s. Xin chỉnh sửa các giá trị 'post_max_size' (hiện tại là %s) và 'upload_max_filesize' (hiện tại là %s) trong 'php.ini' nếu Quý khách muốn tải lên các tập tin lớn hơn."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Máy chủ web của Quý khách được cấu hình không chính xác. Kết quả là, các tập tin cấu hình với thông tin nhạy cảm có thể truy cập từ bên ngoài. Xin liên hệ với nhà cung cấp dịch vụ máy chủ của Quý khách."
"Zip/Postal Code","Mã bưu điện"
"Zip/Postal Code:","Mã bưu điện:"
"[ deleted ]","[ đã xóa ]"
"[GLOBAL]","[TOÀN HỆ THỐNG]"
"[STORE VIEW]","[KHÔNG GIAN CỬA HÀNG]"
"[WEBSITE]","[WEBSITE]"
"b","b"
"close","đóng"
"critical","quan trọng"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","Ví dụ: ""sitemap/"" hoặc ""/"" cho thư mục gốc (phải nhập đường dẫn)"
"failed","thất bại"
"from","từ"
"major","chính yếu"
"minor","thứ yếu"
"notice","thông báo"
"store(%s) scope","phạm vi cửa hàng (%s)"
"successful","thành công"
"to","đến"
"website(%s) scope","phạm vi website(%s)"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","Khuyến cáo không sử dụng {{base_url}} để khai báo URL không an toàn gốc/ URL an toàn gốc trong cài đặt hệ thống. Đề nghị cấp thiết Quý khách thay đổi giá trị này trong <a href=""%s"">cài đặt hệ thống</a> STCMeCOM của mình."
